band,album,date,genre,country,real_date,count
Annihilation,"Social Experiment","January 1986","Death/Thrash Metal","United States",1/1/1986,1
Subtract,"Talk Minus Action Equals Nothing","November 22nd, 2013 ","Melodic Death/Groove Metal","New Zealand",1/1/2013,1
"Lich King","Necromantic Maelstrom",2006,"Thrash Metal","United States",1/1/2006,1
"Destructive Behavior","City of Sin","February 2005","Death Metal",Germany,1/1/2005,1
Galena,Galena,"May 13th, 2016 ","Black/Sludge Metal","United States",1/1/2016,1
"Iron Hearse","Tomb Metal","October 11th, 2016 ","Doom Metal","United Kingdom",1/1/2016,1
"Beorn's Hall","Mountain Hymns","February 25th, 2017 ","Pagan Black Metal","United States",1/1/2017,1
"The End of Music","Wait for Ages",1995,"Progressive Metal",Germany,1/1/1995,1
"Charting the Depths of Despair","Charting the Depths of Despair","August 15th, 2016 ","Funeral Doom Metal",Australia,1/1/2016,1
"Dean Harder","Dean Harder","December 4th, 2017 ","Heavy Metal",Germany,1/1/2017,1
Halloween,"No One Gets Out!",1991,"Heavy Metal","United States",1/1/1991,1
"My Enchantment",Saligia,"May 26th, 2019 ","Melodic Death Metal",Portugal,1/1/2019,1
"Ceaseless Torment","Craving for Revenge",2010,"Thrash Metal",Finland,1/1/2010,1
Hexer,"Realm of the Feathered Serpent","October 9th, 2020 ","Doom/Sludge Metal",Germany,1/1/2020,1
Korovakill,"A Kiss in the Charnel Fields","May 1st, 1995 ","Avant-garde Black Metal",Austria,1/1/1995,1
Sabbra,Osvyati,"October 6th, 2019 ","Black Metal/Punk",Russia,1/1/2019,1
"Swallow the Sky","We See You for What You Are","August 29th, 2016 ","Doom/Sludge Metal, Noise","United States",1/1/2016,1
"Slauter Xstroyes","Demo 1983",1983,"Power/Progressive Metal","United States",1/1/1983,1
"B.D. Union","Stand on the Ground",2000,"Groove Metal/Metalcore",Japan,1/1/2000,1
B.C:A.D.,"No Cover Covers EP","August 9th, 2016 ","Heavy Metal/Punk/Crossover","United States",1/1/2016,1
"Lunatic Gods","Inhuman & Insensible",1996,"Atmospheric/Death/Doom/Black Metal",Slovakia,1/1/1996,1
Mesarthim,"The Great Filter","December 10th, 2016 ","Atmospheric Black Metal/Trance",Australia,1/1/2016,1
"Joe Hasselvander","Road Kill",2000,"Heavy Metal","United States",1/1/2000,1
"Kåabalh","Kåabalh","October 25th, 2018 ","Death Metal",France,1/1/2018,1
Airdash,"Thank God It's Monday",1988,"Thrash Metal",Finland,1/1/1988,1
"Tomorrow's Victim","A Darker Day Now Dawns...",2002,"Brutal Death Metal/Deathcore","United States",1/1/2002,1
"Ixaxaar Nexia","Demo MMXX","April 5th, 2020 ","Black/Death Metal",Canada,1/1/2020,1
Wintermord,"Demo II","October 26th, 2019 ","Black Metal",Czechia,1/1/2019,1
"Cosmic Church","Arcana Dei I - Pimeyden valo","November 7th, 2009 ","Black Metal",Finland,1/1/2009,1
Sarcomancy,Sarcomancy,2010,"Black Metal","United States",1/1/2010,1
"Tortured Sun",Nefarious,2006,"Thrash/Death Metal","United States",1/1/2006,1
Ferosity,"Primordial Cruelty","October 20th, 2009 ","Death Metal",Poland,1/1/2009,1
Anvil,"Worth the Weight",1991,"Heavy/Power Metal",Canada,1/1/1991,1
Veinen,"Black Hypnosis",2005,"Black Metal",Lebanon,1/1/2005,1
Armagedon,"Death Then Nothing","February 16th, 2009 ","Death Metal",Poland,1/1/2009,1
"Huracan's Fall","Cult of the Silent Dirge","January 31st, 2016 ","Melodic Death Metal",Portugal,1/1/2016,1
1349,"The Infernal Pathway","October 18th, 2019 ","Black Metal",Norway,1/1/2019,1
Northorn,Klur,"February 2nd, 2014 ","Depressive Black Metal",Indonesia,1/1/2014,1
Buckethead,"Pike 188 - 19 Days til Halloween: Light in Window","October 13th, 2015 ",Various,"United States",1/1/2015,1
Superhammer,II/III/IV,"June 1st, 2018 ","Stoner/Sludge/Southern Metal",Serbia,1/1/2018,1
Blackbell,Resurrection,"August 8th, 2020 ","Thrash Metal",Algeria,1/1/2020,1
Brotherhood,"Bratstvo hromu","July 15th, 2010 ","Folk Metal",Slovakia,1/1/2010,1
"What Hunts You","The Epigraph of Annihilaton","January 6th, 2013 ",Deathcore,Australia,1/1/2013,1
"Adimiron Sphere","Ostentus MXXII","May 2012","Black/Doom Metal","United States",1/1/2012,1
S.O.C.M.D.,Requiem,"May 1999","Black/Death/Thrash Metal",Czechia,1/1/1999,1
"Enter My Silence","Remotecontrolled Scythe","October 9th, 2001 ","Melodic Death Metal",Finland,1/1/2001,1
"Stone Misery","Media Terrorist",2000,"Thrash Metal (early) Death Metal/Grindcore (later)","United States",1/1/2000,1
Wainas,"Tuhon maa","May 22nd, 2010 ","Death/Doom Metal",Finland,1/1/2010,1
Tiberium,"Demo 2007",2007,"Thrash Metal","United Kingdom",1/1/2007,1
"Omen Faculty","Omen Faculty","March 16th, 2010 ","Industrial/Groove Metal","United States",1/1/2010,1
"Eye of the Enemy","Eye of the Enemy","August 29th, 2008 ","Metalcore/Groove Metal",Australia,1/1/2008,1
Hizha,"Desolate Marshlands","April 30th, 2018 ","Black Metal","United Kingdom",1/1/2018,1
"Blood Covenant","The Day of Lord",2003,"Symphonic Black Metal",Armenia,1/1/2003,1
Hexhammer,HXH,"August 6th, 2016 ","Black/Speed Metal/Punk",Finland,1/1/2016,1
Powergod,"That's Metal Lesson II - Long Live the Loud","July 18th, 2005 ","Power/Speed Metal",Germany,1/1/2005,1
"Wicked Sensation","Blood & Octane",2008,"Heavy Metal/Hard Rock","United States",1/1/2008,1
"Surrounded by All","The Hexagon Chronicles",2003,"Melodic Death Metal",Sweden,1/1/2003,1
"Praeter Morte","Vae Victas","October 2005","Melodic Death Metal","United States",1/1/2005,1
Consolamentum,Parfaite,"November 15th, 2019 ","Doom/Stoner Metal",Mexico,1/1/2019,1
Valinemia,"A Monument of Cruelty","February 13th, 2020 ","Slam/Brutal Death Metal","United Kingdom",1/1/2020,1
Acerose,"Tales of Treachery",2009,"Metalcore/Melodic Death Metal","United States",1/1/2009,1
Inebriation,"Only the Faithless",1994,"Death Metal","United States",1/1/1994,1
Sadness,Y,"August 1991","Doom/Death Metal (early), Gothic/Doom Metal (later)",Switzerland,1/1/1991,1
"When Darkness Falls",Putrid,"July 29th, 2018 ","Melodic Death Metal/Metalcore","United States",1/1/2018,1
"Old Black Majestic","Unholy Attack",2006,"Raw Black Metal",Colombia,1/1/2006,1
Mindloss,Demo,1994,"Death Metal/Thrash Metal",Croatia,1/1/1994,1
DGM,"Tragic Separation","October 9th, 2020 ","Progressive Power Metal",Italy,1/1/2020,1
"And End...","Between Light and Lies","April 14th, 2013 ","Depressive/Post-Black Metal",Russia,1/1/2013,1
"Törzburg","Dracula's Castle","July 11th, 2019 ","Black Metal",Finland,1/1/2019,1
"Diabolis Invictus","Black Fire Storm",2006,"Black Metal",Indonesia,1/1/2006,1
Joker,Ecstasy,1992,"Glam/Hard Rock (early); Heavy/Groove Metal (later)",Portugal,1/1/1992,1
Insinnerator,"Icon of Sin",2007,"Thrash Metal","United States",1/1/2007,1
Cultus,"Our Swords We Raise...Our Gods We Praise!","March 3rd, 2003 ","Black Metal",Netherlands,1/1/2003,1
Parakletos,"Offerlammets makt",2004,"Melodic/Symphonic Black Metal",Finland,1/1/2004,1
"This Is Past","Γλωσσολαλιά",2012,"Psychedelic Black Metal",Greece,1/1/2012,1
"Dii Minores",Fallen,2005,"Heavy/Power Metal",Sweden,1/1/2005,1
"Last Decline","Thinking on the Bones of Life","August 5th, 2014 ","Black Metal",Latvia,1/1/2014,1
Sacrificio,"Imperium of Satan",1994,"Black/Death Metal",Brazil,1/1/1994,1
Grausig,"In the Name of All Who Suffered and Died","June 9th, 2013 ","Death/Black Metal",Indonesia,1/1/2013,1
Buckethead,"Pike 59 - Ydrapoej","June 13th, 2014 ",Various,"United States",1/1/2014,1
Atmosphere,"Mắt xích","May 1st, 2003 ","Thrash Metal",Vietnam,1/1/2003,1
Stormbringer,"Remnants of a Vile Existence","February 16th, 2017 ","Death Metal","United States",1/1/2017,1
"Shock Troopers","Promo 2006",2006,"Thrash Metal/Crossover",Italy,1/1/2006,1
Fallacy,"Martírios",2000,"Progressive Thrash/Death Metal",Portugal,1/1/2000,1
Emperor,"In the Nightside Eclipse","February 21st, 1994 ","Symphonic Black Metal",Norway,1/1/1994,1
S.O.S.,"งานเพลงกระทืบโลง",1996,"Speed Metal",Thailand,1/1/1996,1
Hellegryre,Hellegryre,"September 2nd, 2020 ","Blackened Death Metal","United States",1/1/2020,1
Acerbus,"...and There Was a War in Heaven",1997,"Black Metal",Sweden,1/1/1997,1
"Morbid Forest","Morbid Forest","January 5th, 2012 ","Black/Doom Metal","United States",1/1/2012,1
Darkwish,Darkwish,1983,"Heavy Metal",Italy,1/1/1983,1
Sifon,"Sifon 2007",2007,"Melodic Heavy Metal",Czechia,1/1/2007,1
Mordhate,"Kill the Priest","March 12th, 2020 ","Black/Death Metal",Ukraine,1/1/2020,1
Skeletons,Marionettes,"November 19th, 2013 ","Sludge/Black Metal","United Kingdom",1/1/2013,1
Astarium,"Dethroned of Impostor","March 1st, 2010 ","Symphonic Black Metal, Ambient",Russia,1/1/2010,1
"Crown of Creation","Crown of Creation","December 2012","Death Metal/Death 'n' Roll",Germany,1/1/2012,1
Maktab,Maktab,"February 22nd, 2001 ","Thrash Metal",Japan,1/1/2001,1
Admonish,"Insnärjd","February 6th, 2007 ","Black Metal",Sweden,1/1/2007,1
"Order of Darkness","Esoteric Satanism","November 15th, 2018 ","Black Metal","United States",1/1/2018,1
Arachne,"Hate and Pain",2009,"Death Metal",Czechia,1/1/2009,1
Abitbollus,"Clock Me Jesus",2006,"Avant-garde Black Metal",France,1/1/2006,1
Halucynogen,Virus,"May 2008","Death/Thrash Metal",Poland,1/1/2008,1
Sacrilegeous,Obscurity,1995,"Raw Black Metal",Finland,1/1/1995,1
"In Nothingness","Into the Nothingness​.​.​.","October 31st, 2017 ","Melodic Death Metal",Japan,1/1/2017,1
"Eleven Drops to Sink Into","A Shelter from Time","June 2008","Death/Doom Metal",Bulgaria,1/1/2008,1
"No Point in Living","Light in the Darkness","October 2nd, 2018 ","Depressive Black Metal",Japan,1/1/2018,1
Cable,Cable,1994,"Metalcore/Hardcore (early); Atmospheric Sludge Metal (later)","United States",1/1/1994,1
"Туберкулёз","Туберкулез 4",1990,"Thrash/Death/Black Metal",Russia,1/1/1990,1
Kryzgx,"Kryzgx I","March 21st, 2013 ","Atmospheric Black Metal","United States",1/1/2013,1
"The Bitch in the Van","Demo 1",2004,"Death Metal/Grindcore",Netherlands,1/1/2004,1
"Megaton Sword",Niralet,"November 8th, 2019 ","Epic Heavy Metal",Switzerland,1/1/2019,1
"In from the Cold","Filth Bible","January 26th, 2015 ","Sludge/Stoner Metal",Serbia,1/1/2015,1
"Tropa de Shock","The Other Side",2001,"Hard Rock (early), Heavy Metal (later)",Brazil,1/1/2001,1
"Wasted Sacrifice","Wasted Sacrifice",2007,"Melodic Death Metal",Germany,1/1/2007,1
Paradox,Electrify,"January 18th, 2008 ","Power/Thrash/Speed Metal",Germany,1/1/2008,1
Contorted,"Clinically Dead","December 9th, 2012 ","Death Metal","United States",1/1/2012,1
Witchspell,"Ensayo 30 de Noviembre",2008,"Speed Metal",Chile,1/1/2008,1
SoulHealer,"Up from the Ashes","September 14th, 2018 ","Melodic Heavy Metal",Finland,1/1/2018,1
"Tomb of Belial","Tomb of Belial","September 28th, 2016 ","Black Metal","United States",1/1/2016,1
"Wrath of Ragnarok","The Pouring of the Seventh Vial","January 16th, 2007 ","Black/Thrash Metal (early), Doom Metal (later)","United States",1/1/2007,1
Dekapited,"Hidden Life","July 1994","Death Metal",Spain,1/1/1994,1
"Mangled Reality","From Within","July 1991","Thrash Metal","United States",1/1/1991,1
Berserkr,"The Voice of Our Ancestors",1994,"Death/Groove/Heavy Metal","United States",1/1/1994,1
"Интоксикация","Время героев",2001,"Heavy Metal",Russia,1/1/2001,1
Enforsaken,"The Forever Endeavor","March 22nd, 2004 ","Melodic Death Metal","United States",1/1/2004,1
Ellipsis,"Imperial Tzadik","October 2006","Progressive Metal",France,1/1/2006,1
"Elwood Blatch","Set vs Horus",2009,"Death/Thrash Metal",Canada,1/1/2009,1
"Worst Case Scenario","End Time Stories","June 17th, 2006 ","Death Metal",Germany,1/1/2006,1
"Illumina A.D.","Tapestry of Lies","July 21st, 2014 ","Melodic Death/Groove Metal","United States",1/1/2014,1
"Prey on the Fallen","Prey on the Fallen","June 25th, 2013 ","Heavy/Southern Metal","United States",1/1/2013,1
Diphteria,Diphteria,"May 1st, 2014 ",Deathcore,Czechia,1/1/2014,1
Hardened,Hardened,"July 19th, 2015 ","Stoner Metal",Canada,1/1/2015,1
"Orgiastic Rebirth","Corridors of Repugnant Suffering","June 17th, 2013 ","Brutal Death Metal","New Zealand",1/1/2013,1
Intrepid,"Unused Imaginative Capacity","March 31st, 2020 ","Death Metal",Estonia,1/1/2020,1
"Master's Memorial","We Are the Ashes","February 1st, 2007 ","Black/Doom Metal","United Kingdom",1/1/2007,1
Schubert,"Toilet Reflections",1995,"Melodic Heavy Metal",Austria,1/1/1995,1
Provocator,"Holy Incest","August 14th, 2015 ","Raw Black Metal",Slovenia,1/1/2015,1
Helgrid,"Wisdom Midgard","December 18th, 2004 ","Pagan Black Metal",Brazil,1/1/2004,1
Yllmangspach,"Striding Beyond the Gate of Darkness",1999,"Death Metal",Austria,1/1/1999,1
"Nocturnal Amentia","HVHI​:​Nati ex Mortis","April 26th, 2016 ","Black Metal",Ukraine,1/1/2016,1
"Z I Z","Black War (Demo MMXX)","July 11th, 2020 ","Black/Death Metal",Indonesia,1/1/2020,1
"Blasting Hatred","Wak'a Atiy Kasu","December 10th, 2010 ","Brutal Death Metal",Colombia,1/1/2010,1
Deventter,"Lead... On",2009,"Progressive Metal/Rock",Brazil,1/1/2009,1
"Jute Gyte",Ressentiment,"September 1st, 2014 ","Experimental Black Metal, Ambient, Noise","United States",1/1/2014,1
Neorite,"In Search of Lost Time","May 1st, 2016 ","Stoner/Doom Metal/Rock",Germany,1/1/2016,1
Quintessence,"Le bourreau de Tiffauges","February 16th, 2011 ","Black Metal",France,1/1/2011,1
"Michael Angelo Batio","Hands Without Shadows","October 27th, 2005 ","Neoclassical Metal/Rock, Shred","United States",1/1/2005,1
"Seventh Gate","Seventh Gate",1994,"Death Metal","United States",1/1/1994,1
Mortic,"Beneath the Surface","June 22nd, 2019 ","Death Metal","United States",1/1/2019,1
"Zombie Hate Brigade","Undead Exploitation","September 10th, 2016 ","Death Metal/Grindcore","United States",1/1/2016,1
"Moi dix Mois",Dixanadu,"March 28th, 2007 ","Symphonic/Gothic Metal",Japan,1/1/2007,1
"Theatres des Vampires","Moonlight Waltz","January 14th, 2011 ","Melodic Black Metal (early); Gothic Metal (later)",Italy,1/1/2011,1
"Impulsive Gluttony","Post-Coital Self-Defecation: Demo 2012",2012,"Brutal Death Metal",Belarus,1/1/2012,1
Suicidal,"Blasphemic Existence",2005,"Black Metal",Singapore,1/1/2005,1
"Гниль","Конец света (End of the World)","February 25th, 2020 ","Death/Doom Metal",Russia,1/1/2020,1
Anacrusis,"Demo I",1986,"Thrash Metal (early); Progressive Metal (later)","United States",1/1/1986,1
Malleus,"A Semente da Ruína",2004,"Black Metal",Portugal,1/1/2004,1
"Kevin Zugschwert","Over the Limit",2009,"Heavy Metal/Shred","United States",1/1/2009,1
"Forbidden Glory","Voodoo's Secret Society","June 1st, 1996 ","Heavy Metal","United States",1/1/1996,1
Fragment.,"[fragment. Reshaped]","April 30th, 2016 ","Drone/Doom Metal/Shoegaze/Post-Rock",France,1/1/2016,1
Patriarch,"Tyrant in the North","June 28th, 2014 ","Black Metal",Italy,1/1/2014,1
"The Aberration Doom","First Act","March 20th, 2020 ","Death/Doom Metal",Brazil,1/1/2020,1
"Mincing Fury and Guttural Clamour of Queer Decay",Lamentations,2002,"Goregrind/Brutal Death Metal",Czechia,1/1/2002,1
Deviant,"A 17th Century Ghost Story",1990,"Thrash Metal","United Kingdom",1/1/1990,1
Sourens,"The Old Fables","August 7th, 2015 ","Folk/Gothic Metal",Russia,1/1/2015,1
Kresil,"Mundo devastado","August 22nd, 2016 ","Death Metal",Chile,1/1/2016,1
Kaarnekorpi,Saattaja,"January 1st, 2012 ","Viking/Folk Metal",Finland,1/1/2012,1
"Ancient Plague","Archaic Kingdoms","February 2010","Black Metal/Ambient/Experimental",International,1/1/2010,1
"Omega Point","Omega Point 2","September 9th, 2019 ","Brutal Death Metal/Goregrind","United Kingdom",1/1/2019,1
Defamer,"Decrepit Rituals","February 8th, 2012 ","Death Metal",Australia,1/1/2012,1
Fanapth,"Untitled (mmxii)","December 21st, 2012 ","Black Metal, Noise","United States",1/1/2012,1
"The Accident","Demo 1/92","November 1st, 1992 ","Death Metal/Grindcore",Netherlands,1/1/1992,1
Warfare,"Drops of Cold Flowing","April 27th, 2012 ","Groove Metal",Italy,1/1/2012,1
"The Killing Hours","I, Catharsis","October 16th, 2015 ","Progressive/Technical Thrash Metal","United States",1/1/2015,1
Illuminata,"From the Chalice of Dreams","January 2008","Melodic Power/Gothic Metal",Austria,1/1/2008,1
Akromusto,"Ave Satanas!!!","February 21st, 2007 ","Black Metal",Russia,1/1/2007,1
"Greven Dark","War Is Coming",2012,"Black Metal","Costa Rica",1/1/2012,1
Sabiendas,"Restored to Life","February 22nd, 2013 ","Death Metal",Germany,1/1/2013,1
Valac,"Offerings of Anguish","June 28th, 2019 ","Raw Black Metal","United States",1/1/2019,1
"Infectious Grooves","The Plague That Makes Your Booty Move... It's the Infectious Grooves","October 9th, 1991 ","Funk Rock","United States",1/1/1991,1
Phobophobia,"Lost in Wrong Ways",1992,"Thrash Metal",Brazil,1/1/1992,1
"Secret Sphere","A Time Never Come - 2015 Edition","April 28th, 2015 ","Melodic Power/Progressive Metal",Italy,1/1/2015,1
"Anguish Sublime","Unveiling the Origin","May 29th, 2014 ","Melodic Death Metal",Serbia,1/1/2014,1
Catastrophe,Broken,2003,"Melodic Death Metal",Finland,1/1/2003,1
Chakal,"Man Is a Jackal 2 Man",2017,"Thrash Metal (early); Groove Metal (later)",Brazil,1/1/2017,1
Kaihoro,Skyhook,"April 7th, 2010 ","Stoner Metal/Rock",Finland,1/1/2010,1
Nycticorax,"Anima Tenebrarum","July 5th, 2011 ","Black Metal",Latvia,1/1/2011,1
"Greed Killing",Disorder,"May 18th, 2009 ","Death Metal/Grindcore",Germany,1/1/2009,1
"Ewïg Frost",Rust,"December 14th, 2009 ","Black/Speed Metal/Punk",Austria,1/1/2009,1
"Street Lethal","Welcome to the Row","December 5th, 2019 ","Heavy/Speed Metal",Spain,1/1/2019,1
"Kill the Host","Kill the Host","April 5th, 2012 ","Melodic Death Metal, Metalcore","United States",1/1/2012,1
"Steel Death","Casket Violence...Beaten Back to Death","September 7th, 2007 ","Thrash Metal",Germany,1/1/2007,1
Contracultura,Inmortal,"August 7th, 2009 ","Progressive/Heavy Metal",Uruguay,1/1/2009,1
Titan,"Crusaders of Death",1989,"Heavy Metal (early); Thrash Metal (later)",Germany,1/1/1989,1
"Dämmerfarben","Des Herbstes Trauerhymnen MMXX","April 24th, 2020 ","Atmospheric Black/Doom Metal, Acoustic",Germany,1/1/2020,1
Warcrab,"Ashes of Carnage","January 9th, 2014 ","Death/Sludge Metal","United Kingdom",1/1/2014,1
Somnolescent,"The Aftermath","January 27th, 2015 ","Doom/Death Metal","United States",1/1/2015,1
Bottomfeeder,"Demo 2012","June 5th, 2012 ","Black/Sludge Metal/Crust Punk","United States",1/1/2012,1
Necronoclast,Ashes,"February 22nd, 2011 ","Black Metal","United Kingdom",1/1/2011,1
"Binaural Frenzied",Obesed,"February 23rd, 2020 ","Doom/Sludge/Industrial Metal",Greece,1/1/2020,1
"My Silent Wake","Silver Under Midnight","June 5th, 2013 ","Gothic/Death/Doom Metal","United Kingdom",1/1/2013,1
"Black Achemoth","Obscure Desires","April 2004","Black Metal",Brazil,1/1/2004,1
Procez,"Sześć pierwszych","January 20th, 2010 ","Heavy/Stoner Metal/Rock",Poland,1/1/2010,1
"Hijo de la Aurora","Promo 2010",2010,"Black Metal",Argentina,1/1/2010,1
Sebaoth,"Império das traças",2001,"Death Metal",Brazil,1/1/2001,1
Hydrogen,11,2006,"Thrash Metal with Hardcore and Doom/Gothic influences",Sweden,1/1/2006,1
Barbaric,"Demo 2020","May 23rd, 2020 ","Death Metal/Grindcore","United States",1/1/2020,1
"Falç","Falsa doctrina","August 17th, 2015 ","Death/Thrash Metal/Hardcore",Spain,1/1/2015,1
"Chemical Waste","Life's a Bitch",1987,"Crossover/Thrash Metal","United States",1/1/1987,1
"Hate Meditation",Scars,"May 24th, 2013 ","Black Metal","United States",1/1/2013,1
"Eddy Metal","The Fifth Dimension","September 26th, 2015 ","Heavy Metal",Italy,1/1/2015,1
Godphobia,"On Your Knees","March 2007","Death Metal",Sweden,1/1/2007,1
Mutexide,"Low-res Memoirs","February 10th, 2020 ","Doom Metal/Synthwave/Chiptune/Progressive Rock",Chile,1/1/2020,1
"Session VII","Libération conditionnelle","December 17th, 2004 ","Progressive Metal",Canada,1/1/2004,1
Prey,Heartfelt,"June 16th, 2004 ","Gothic/Doom Metal",Netherlands,1/1/2004,1
"President Evil","Brand New","September 15th, 2014 ","Sludge Metal/Powerviolence",Netherlands,1/1/2014,1
"Tore Fagerheim","The Uprising","November 29th, 2016 ","Melodic Death Metal",Norway,1/1/2016,1
